出版社,年級,學期,課次,生字
南一,1,1,,一
南一,1,1,,二
南一,1,1,,三
南一,1,1,,四
南一,1,1,,五
南一,1,1,,六
南一,1,1,,七
南一,1,1,,八
南一,1,1,,九
南一,1,1,,十
南一,1,1,,日
南一,1,1,,月
南一,1,1,,山
南一,1,1,,木
南一,1,1,,水
南一,1,1,,人
南一,1,1,,手
南一,1,1,,門
南一,1,1,1,小
南一,1,1,1,上
南一,1,1,1,走
南一,1,1,1,左
南一,1,1,1,右
南一,1,1,1,向
南一,1,1,1,魚
南一,1,1,1,也
南一,1,1,1,來
南一,1,1,1,加
南一,1,1,1,船
南一,1,1,1,前
南一,1,1,1,油
南一,1,1,2,開
南一,1,1,2,出
南一,1,1,2,招
南一,1,1,2,車
南一,1,1,2,子
南一,1,1,2,地
南一,1,1,2,花
南一,1,1,2,朵
南一,1,1,2,在
南一,1,1,2,笑
南一,1,1,2,印
南一,1,1,2,張
南一,1,1,2,臉
南一,1,1,3,泡
南一,1,1,3,玩
南一,1,1,3,大
南一,1,1,3,起
南一,1,1,3,好
南一,1,1,3,多
南一,1,1,3,我
南一,1,1,3,的
南一,1,1,3,你
南一,1,1,3,抱
南一,1,1,3,吹
南一,1,1,3,家
南一,1,1,3,像
南一,1,1,4,爸
南一,1,1,4,到
南一,1,1,4,青
南一,1,1,4,叫
南一,1,1,4,下
南一,1,1,4,那
南一,1,1,4,和
南一,1,1,4,要
南一,1,1,4,他
南一,1,1,4,朋
南一,1,1,4,友
南一,1,1,4,跟
南一,1,1,4,頭
南一,1,1,4,想
南一,1,1,4,做
南一,1,1,5,外
南一,1,1,5,住
南一,1,1,5,個
南一,1,1,5,們
南一,1,1,5,這
南一,1,1,5,裡
南一,1,1,5,有
南一,1,1,5,沒
南一,1,1,5,是
南一,1,1,5,什
南一,1,1,5,麼
南一,1,1,5,星
南一,1,1,5,哪
南一,1,1,5,球
南一,1,1,5,河
南一,1,1,5,流
南一,1,1,6,金
南一,1,1,6,說
南一,1,1,6,句
南一,1,1,6,話
南一,1,1,6,兩
南一,1,1,6,都
南一,1,1,6,悄
南一,1,1,6,尾
南一,1,1,6,巴
南一,1,1,6,滿
南一,1,1,6,紅
南一,1,1,6,吐
南一,1,1,6,缸
南一,1,1,6,搖
南一,1,1,7,春
南一,1,1,7,貼
南一,1,1,7,呢
南一,1,1,7,了
南一,1,1,7,請
南一,1,1,7,天
南一,1,1,7,家
南一,1,1,7,把
南一,1,1,7,不
南一,1,1,7,房
南一,1,1,7,福
南一,1,1,7,為
南一,1,1,7,幸
南一,1,2,1,太
南一,1,2,1,充
南一,1,2,1,電
南一,1,2,1,雨
南一,1,2,1,過
南一,1,2,1,後
南一,1,2,1,為
南一,1,2,1,冬
南一,1,2,1,土
南一,1,2,1,草
南一,1,2,1,冒
南一,1,2,1,哭
南一,1,2,1,心
南一,1,2,1,陽
南一,1,2,1,機
南一,1,2,2,顏
南一,1,2,2,色
南一,1,2,2,細
南一,1,2,2,著
南一,1,2,2,問
南一,1,2,2,鳥
南一,1,2,2,綠
南一,1,2,2,看
南一,1,2,2,藍
南一,1,2,2,空
南一,1,2,2,媽
南一,1,2,2,彩
南一,1,2,2,中
南一,1,2,2,虹
南一,1,2,2,蜻
南一,1,2,2,蜓
南一,1,2,3,音
南一,1,2,3,樂
南一,1,2,3,會
南一,1,2,3,坡
南一,1,2,3,忙
南一,1,2,3,布
南一,1,2,3,場
南一,1,2,3,入
南一,1,2,3,口
南一,1,2,3,河
南一,1,2,3,林
南一,1,2,3,間
南一,1,2,3,風
南一,1,2,3,跑
南一,1,2,3,置
南一,1,2,4,書
南一,1,2,4,打
南一,1,2,4,跳
南一,1,2,4,陪
南一,1,2,4,去
南一,1,2,4,險
南一,1,2,4,海
南一,1,2,4,找
南一,1,2,4,歡
南一,1,2,4,神
南一,1,2,4,奇
南一,1,2,4,猜
南一,1,2,4,次
南一,1,2,4,誰
南一,1,2,4,跟
南一,1,2,4,恐
南一,1,2,4,龍
南一,1,2,4,豚
南一,1,2,5,喜
南一,1,2,5,帶
南一,1,2,5,氣
南一,1,2,5,球
南一,1,2,5,始
南一,1,2,5,吹
南一,1,2,5,突
南一,1,2,5,然
南一,1,2,5,得
